iter	Passed	Remaining
399	63811	95717
400	63969	95555
401	64106	95362
402	64240	95165
403	64397	95002
404	64546	94827
405	64702	94662
406	64839	94471
407	65009	94327
408	65143	94131
409	65273	93930
410	65410	93738
411	65591	93610
412	65763	93469
413	65918	93304
414	66052	93110
415	66190	92920
416	66323	92725
417	66453	92526
418	66584	92328
419	66703	92114
420	66847	91935
421	66980	91741
422	67109	91541
423	67258	91370
424	67416	91210
425	67575	91052
426	67719	90873
427	67868	90702
428	68010	90522
429	68137	90321
430	68267	90126
431	68414	89952
432	68556	89772
433	68727	89630
434	68879	89464
435	69026	89291
436	69162	89103
437	69313	88936
438	69449	88750
439	69585	88563
440	69710	88363
441	69840	88169
442	69981	87989
443	70125	87814
444	70292	87668
445	70448	87507
446	70593	87334
447	70742	87164
448	70883	86985
449	71026	86810
450	71212	86686
451	71389	86551
452	71541	86386
453	71706	86237
454	71865	86080
455	71999	85894
456	72130	85704
457	72284	85541
458	72421	85359
459	72561	85180
460	72702	85003
461	72852	84836
462	73014	84683
463	73167	84521
464	73315	84352
465	73444	84161
466	73608	84011
467	73798	83890
468	73950	83726
469	74082	83540
470	74249	83393
471	74397	83224
472	74545	83055
473	74666	82858
474	74819	82694
475	74974	82535
476	75116	82359
477	75262	82189
478	75387	81997
479	75529	81823
480	75676	81655
481	75837	81501
482	75980	81328
483	76127	81160
484	76292	81011
485	76468	80874
486	76620	80711
487	76782	80558
488	76936	80398
489	77088	80234
490	77239	80071
491	77360	79875
492	77497	79698
493	77622	79508
494	77754	79325
495	77903	79159
496	78037	78980
497	78169	78797
498	78333	78647
499	78500	78500
500	78652	78338
501	78783	78155
502	78932	77990
503	79092	77837
504	79234	77665
505	79380	77498
506	79520	77324
507	79682	77172
508	79849	77025
509	79977	76841
510	80130	76680
511	80277	76514
512	80422	76346
513	80567	76178
514	80708	76007
515	80872	75857
516	81004	75677
517	81133	75494
518	81291	75339
519	81422	75159
520	81593	75016
521	81748	74857
522	81888	74685
523	82035	74521
524	82188	74361
525	82341	74201
526	82499	74046
527	82642	73877
528	82799	73721
529	82944	73554
530	83102	73399
531	83257	73241
532	83406	73078
533	83577	72934
534	83709	72756
535	83892	72623
536	84018	72440
537	84136	72251
538	84320	72118
539	84473	71959
540	84632	71804
541	84769	71632
542	84918	71469
543	85046	71289
544	85168	71103
545	85309	70934
546	85472	70784
547	85634	70632
548	85779	70467
549	85926	70303
550	86089	70153
551	86227	69981
552	86374	69818
553	86536	69666
554	86688	69507
555	86840	69347
556	87020	69210
557	87148	69031
558	87276	68852
559	87393	68666
560	87544	68505
561	87693	68344
562	87848	68187
563	88012	68038
564	88187	67896
565	88330	67730
566	88485	67573
567	88627	67406
568	88816	67275
569	88961	67111
570	89112	66951
571	89273	66799
572	89411	66629
573	89547	66458
574	89705	66303
575	89844	66135
576	89977	65962
577	90101	65783
578	90254	65625
579	90402	65463
580	90585	65327
581	90771	65192
582	90930	65039
583	91084	64882
584	91226	64716
585	91403	64575
586	91536	64402
587	91700	64252
588	91878	64111
589	92007	63937
590	92158	63777
591	92320	63626
592	92452	63453
593	92623	63308
594	92792	63161
595	92932	62994
596	93063	62821
597	93212	62660
598	93352	62494
599	93486	62324
600	93641	62168
601	93791	62008
602	93925	61838
603	94063	61670
604	94217	61514
605	94372	61357
606	94530	61203
607	94690	61050
608	94826	60881
609	94969	60717
610	95106	60550
611	95256	60391
612	95394	60224
613	95548	60068
614	95698	59908
615	95884	59772
616	96008	59597
617	96159	59438
618	96318	59284
619	96458	59119
620	96601	58956
621	96764	58805
622	96900	58637
623	97023	58462
624	97158	58295
625	97305	58134
626	97479	57990
627	97600	57814
628	97739	57649
629	97866	57476
630	98004	57311
631	98150	57151
632	98295	56989
633	98428	56821
634	98591	56670
635	98742	56512
636	98878	56347
637	99026	56187
638	99154	56016
639	99282	55846
640	99434	55689
641	99576	55527
642	99722	55366
643	99870	55207
644	100015	55047
645	100177	54895
646	100337	54743
647	100481	54582
648	100656	54438
649	100800	54277
650	100922	54104
651	101049	53934
652	101187	53770
653	101331	53609
654	101471	53446
655	101628	53292
656	101777	53134
657	101913	52970
658	102068	52815
659	102208	52653
660	102355	52493
661	102500	52334
662	102637	52170
663	102782	52010
664	102931	51852
665	103058	51684
666	103192	51519
667	103326	51353
668	103481	51199
669	103602	51027
670	103731	50860
671	103886	50706
672	104032	50547
673	104165	50382
674	104304	50220
675	104451	50062
676	104586	49898
677	104722	49735
678	104869	49577
679	105008	49415
680	105158	49259
681	105292	49095
682	105454	48944
683	105604	48788
684	105750	48629
685	105914	48479
686	106044	48314
687	106195	48158
688	106325	47992
689	106485	47841
690	106615	47675
691	106753	47514
692	106896	47355
693	107014	47185
694	107152	47023
695	107285	46860
696	107451	46711
697	107610	46559
698	107768	46406
699	107900	46243
700	108040	46083
701	108166	45917
702	108312	45759
703	108469	45606
704	108607	45445
705	108770	45295
706	108905	45133
707	109046	44973
708	109160	44803
709	109290	44639
710	109441	44484
711	109609	44336
712	109754	44178
713	109888	44016
714	110000	43846
715	110209	43714
716	110343	43552
717	110459	43383
718	110592	43221
719	110740	43065
720	110856	42897
721	111008	42742
722	111156	42586
723	111309	42432
724	111464	42279
725	111623	42127
726	111767	41970
727	111917	41815
728	112060	41657
729	112186	41493
730	112315	41331
731	112444	41168
732	112605	41017
733	112757	40863
734	112909	40708
735	113047	40549
736	113161	40381
737	113316	40229
738	113440	40064
739	113620	39920
740	113756	39760
741	113900	39604
742	114043	39447
743	114182	39288
744	114333	39134
745	114484	38980
746	114628	38823
747	114763	38663
748	114918	38510
749	115066	38355
750	115201	38195
751	115348	38040
752	115510	37889
753	115660	37735
754	115812	37581
755	115951	37423
756	116128	37277
757	116258	37116
758	116393	36957
759	116555	36807
760	116692	36648
761	116842	36494
762	116994	36340
763	117125	36180
764	117285	36028
765	117421	35870
766	117591	35721
767	117711	35558
768	117883	35410
769	118029	35255
770	118174	35099
771	118301	34938
772	118447	34783
773	118590	34627
774	118743	34474
775	118894	34319
776	119034	34163
777	119163	34003
778	119313	33848
779	119459	33693
780	119593	33535
781	119737	33379
782	119883	33224
783	120033	33070
784	120166	32911
785	120329	32761
786	120475	32606
787	120622	32451
788	120765	32296
789	120884	32133
790	121020	31976
791	121177	31824
792	121350	31676
793	121520	31528
794	121686	31378
795	121838	31224
796	122007	31076
797	122148	30919
798	122306	30767
799	122447	30611
800	122588	30455
801	122728	30299
802	122860	30141
803	123016	29989
804	123164	29834
805	123307	29679
806	123443	29522
807	123556	29360
808	123691	29202
809	123827	29046
810	123975	28892
811	124142	28742
812	124299	28590
813	124452	28437
814	124622	28288
815	124756	28131
816	124877	27971
817	125006	27813
818	125169	27662
819	125327	27511
820	125467	27355
821	125600	27198
822	125740	27042
823	125868	26884
824	126030	26733
825	126152	26574
826	126285	26417
827	126408	26258
828	126587	26111
829	126721	25955
830	126865	25800
831	127019	25648
832	127164	25493
833	127314	25340
834	127455	25185
835	127614	25034
836	127747	24878
837	127895	24724
838	128063	24574
839	128204	24419
840	128337	24263
841	128481	24109
842	128618	23953
843	128772	23801
844	128902	23644
845	129032	23488
846	129152	23329
847	129295	23175
848	129430	23019
849	129562	22864
850	129706	22709
851	129864	22558
852	130001	22403
853	130137	22248
854	130283	22094
855	130449	21944
856	130580	21788
857	130712	21633
858	130872	21481
859	131018	21328
860	131166	21175
861	131291	21018
862	131423	20863
863	131539	20705
864	131687	20552
865	131821	20397
866	131963	20243
867	132117	20091
868	132261	19938
869	132420	19787
870	132593	19637
871	132744	19485
872	132862	19328
873	133000	19173
874	133140	19020
875	133262	18863
876	133404	18710
877	133536	18555
878	133676	18401
879	133842	18251
880	133984	18097
881	134119	17943
882	134253	17789
883	134402	17636
884	134546	17483
885	134667	17327
886	134831	17176
887	134969	17023
888	135103	16868
889	135287	16720
890	135433	16568
891	135587	16416
892	135732	16263
893	135858	16108
894	136002	15955
895	136149	15803
896	136297	15650
897	136470	15501
898	136609	15347
899	136755	15195
900	136922	15044
901	137067	14892
902	137199	14737
903	137347	14585
904	137498	14433
905	137659	14282
906	137787	14128
907	137916	13973
908	138046	13819
909	138200	13668
910	138355	13516
911	138513	13365
912	138664	13213
913	138801	13060
914	138956	12908
915	139126	12758
916	139294	12607
917	139477	12458
918	139622	12306
919	139789	12155
920	139962	12005
921	140133	11855
922	140283	11702
923	140458	11552
924	140638	11403
925	140769	11249
926	140923	11097
927	141134	10950
928	141301	10799
929	141465	10647
930	141633	10497
931	141804	10346
932	141965	10194
933	142110	10042
934	142236	9888
935	142437	9739
936	142602	9588
937	142779	9437
938	142949	9286
939	143106	9134
940	143254	8981
941	143403	8829
942	143578	8678
943	143743	8527
944	143917	8376
945	144070	8223
946	144261	8073
947	144402	7920
948	144546	7768
949	144716	7616
950	144871	7464
951	145030	7312
952	145207	7161
953	145335	7007
954	145453	6853
955	145628	6702
956	145767	6549
957	145925	6397
958	146054	6244
959	146222	6092
960	146370	5940
961	146524	5787
962	146666	5635
963	146818	5482
964	146983	5331
965	147142	5178
966	147301	5026
967	147427	4873
968	147580	4721
969	147713	4568
970	147849	4415
971	147993	4263
972	148139	4110
973	148282	3958
974	148410	3805
975	148563	3653
976	148805	3503
977	148974	3351
978	149146	3199
979	149312	3047
980	149500	2895
981	149662	2743
982	149812	2590
983	150005	2439
984	150187	2287
985	150368	2135
986	150535	1982
987	150695	1830
988	150844	1677
989	150982	1525
990	151132	1372
991	151248	1219
992	151423	1067
993	151576	914
994	151765	762
995	151925	610
996	152070	457
997	152214	305
998	152390	152
999	152586	0
